"ID","Short Postcode","Population"
"E01014540","BS1  1",1216
"E01014540","BS1  2",545
"E01014542","BS1  2",545
"E01033358","BS1  3",2379
"E01033342","BS1  3",2379
"E01014540","BS1  3",2379
"E01033347","BS1  3",2379
"E01033353","BS1  3",2379
"E01033367","BS1  3",2379
"E01033348","BS1  3",2379
"E01014489","BS1  3",2379
"E01014540","BS1  4",531
"E01033345","BS1  4",531
"E01033345","BS1  5",3174
"E01033344","BS1  5",3174
"E01014542","BS1  5",3174
"E01014540","BS1  5",3174
"E01033350","BS1  5",3174
"E01033355","BS1  6",4210
"E01033370","BS1  6",4210
"E01033353","BS1  6",4210
"E01014540","BS1  6",4210
"E01033350","BS1  6",4210
"E01033345","BS1  6",4210
"E01014633","BS10 5",9553
"E01014636","BS10 5",9553
"E01014632","BS10 5",9553
"E01014635","BS10 5",9553
"E01014720","BS10 5",9553
"E01014688","BS10 5",9553
"E01014692","BS10 5",9553
"E01014631","BS10 5",9553
"E01014689","BS10 5",9553
"E01014691","BS10 5",9553
"E01014690","BS10 5",9553
"E01014603","BS10 6",10280
"E01014691","BS10 6",10280
"E01014689","BS10 6",10280
"E01014690","BS10 6",10280
"E01014693","BS10 6",10280
"E01014694","BS10 6",10280
"E01014601","BS10 6",10280
"E01014605","BS10 6",10280
"E01032516","BS10 7",7926
"E01032517","BS10 7",7926
"E01014718","BS10 7",7926
"E01014605","BS10 7",7926
"E01014601","BS10 7",7926
"E01014602","BS10 7",7926
"E01014498","BS11 0",9627
"E01014499","BS11 0",9627
"E01014492","BS11 0",9627
"E01014493","BS11 0",9627
"E01014497","BS11 0",9627
"E01014638","BS11 0",9627
"E01014640","BS11 0",9627
"E01014642","BS11 0",9627
"E01014639","BS11 0",9627
"E01014496","BS11 0",9627
"E01014496","BS11 9",7823
"E01014499","BS11 9",7823
"E01014493","BS11 9",7823
"E01014494","BS11 9",7823
"E01014498","BS11 9",7823
"E01014495","BS11 9",7823
"E01014492","BS11 9",7823
"E01014593","BS13 0",7584
"E01032515","BS13 0",7584
"E01032514","BS13 0",7584
"E01014727","BS13 0",7584
"E01014726","BS13 0",7584
"E01014500","BS13 7",8362
"E01014518","BS13 7",8362
"E01014520","BS13 7",8362
"E01014598","BS13 7",8362
"E01014599","BS13 7",8362
"E01014521","BS13 7",8362
"E01014519","BS13 7",8362
"E01014600","BS13 7",8362
"E01014594","BS13 7",8362
"E01014593","BS13 7",8362
"E01014522","BS13 8",7380
"E01014847","BS13 8",7380
"E01014520","BS13 8",7380
"E01014521","BS13 8",7380
"E01014595","BS13 8",7380
"E01014600","BS13 8",7380
"E01014515","BS13 8",7380
"E01014516","BS13 8",7380
"E01014517","BS13 8",7380
"E01014597","BS13 8",7380
"E01014600","BS13 9",6423
"E01014595","BS13 9",6423
"E01014594","BS13 9",6423
"E01014597","BS13 9",6423
"E01014596","BS13 9",6423
"E01014593","BS13 9",6423
"E01014607","BS14 0",8915
"E01032515","BS14 0",8915
"E01014608","BS14 0",8915
"E01014611","BS14 0",8915
"E01014723","BS14 0",8915
"E01014722","BS14 0",8915
"E01033359","BS14 0",8915
"E01014725","BS14 0",8915
"E01014612","BS14 0",8915
"E01014704","BS14 0",8915
"E01014610","BS14 0",8915
"E01014609","BS14 0",8915
"E01014708","BS14 8",7808
"E01014706","BS14 8",7808
"E01014703","BS14 8",7808
"E01014704","BS14 8",7808
"E01014707","BS14 8",7808
"E01014705","BS14 8",7808
"E01014702","BS14 8",7808
"E01014447","BS14 8",7808
"E01014645","BS14 9",11588
"E01014613","BS14 9",11588
"E01014708","BS14 9",11588
"E01014614","BS14 9",11588
"E01014704","BS14 9",11588
"E01014608","BS14 9",11588
"E01014610","BS14 9",11588
"E01014612","BS14 9",11588
"E01014611","BS14 9",11588
"E01014609","BS14 9",11588
"E01014673","BS15 1",12002
"E01014675","BS15 1",12002
"E01014674","BS15 1",12002
"E01014687","BS15 1",12002
"E01014685","BS15 1",12002
"E01014627","BS15 1",12002
"E01014924","BS15 1",12002
"E01014624","BS15 1",12002
"E01014623","BS15 1",12002
"E01014923","BS15 1",12002
"E01014680","BS15 3",8861
"E01014679","BS15 3",8861
"E01014916","BS15 3",8861
"E01014675","BS15 8",7414
"E01014676","BS15 8",7414
"E01014687","BS15 8",7414
"E01014673","BS15 8",7414
"E01014577","BS16 1",12240
"E01014660","BS16 1",12240
"E01014571","BS16 1",12240
"E01014575","BS16 1",12240
"E01014587","BS16 1",12240
"E01014586","BS16 1",12240
"E01014573","BS16 1",12240
"E01014590","BS16 1",12240
"E01014572","BS16 2",9125
"E01014573","BS16 2",9125
"E01014571","BS16 2",9125
"E01014588","BS16 2",9125
"E01014589","BS16 2",9125
"E01014590","BS16 2",9125
"E01014586","BS16 2",9125
"E01014592","BS16 2",9125
"E01014591","BS16 2",9125
"E01014572","BS16 3",6892
"E01014573","BS16 3",6892
"E01014588","BS16 3",6892
"E01014590","BS16 3",6892
"E01014629","BS16 3",6892
"E01014626","BS16 3",6892
"E01014623","BS16 3",6892
"E01014622","BS16 3",6892
"E01014627","BS16 3",6892
"E01014592","BS16 3",6892
"E01032519","BS16 3",6892
"E01032519","BS16 4",9232
"E01032518","BS16 4",9232
"E01014629","BS16 4",9232
"E01014622","BS16 4",9232
"E01014624","BS16 4",9232
"E01014592","BS16 5",10054
"E01014591","BS16 5",10054
"E01032519","BS16 5",10054
"E01033353","BS2  0",2935
"E01033369","BS2  0",2935
"E01033358","BS2  0",2935
"E01033352","BS2  0",2935
"E01014540","BS2  0",2935
"E01014658","BS2  0",2935
"E01033347","BS2  8",5986
"E01033348","BS2  8",5986
"E01014542","BS2  8",5986
"E01014538","BS2  8",5986
"E01014539","BS2  8",5986
"E01033342","BS2  8",5986
"E01033367","BS2  8",5986
"E01014489","BS2  8",5986
"E01033366","BS2  8",5986
"E01014486","BS2  8",5986
"E01033358","BS2  9",6764
"E01033347","BS2  9",6764
"E01014486","BS2  9",6764
"E01033366","BS2  9",6764
"E01014488","BS2  9",6764
"E01014485","BS2  9",6764
"E01014665","BS2  9",6764
