Postcode,Population
AL1  1,5543
AL1  2,6632
AL1  3,4248
AL1  4,9963
AL1  5,10398
AL10 0,10102
AL10 8,11183
AL10 9,15219
AL2  1,9666
AL2  2,6232
AL2  3,8100
AL3  4,5658
AL3  5,8979
AL3  6,4353
AL3  7,5433
AL3  8,4515
AL4  0,9464
AL4  8,6617
AL4  9,11643
AL5  1,6192
AL5  2,4754
AL5  3,4737
AL5  4,6558
AL5  5,8505
AL6  0,6542
AL6  9,4868
AL7  1,5857
AL7  2,7518
AL7  3,10284
AL7  4,10798
AL8  6,5967
AL8  7,7506
AL9  5,2118
AL9  6,1451
AL9  7,7012
B1   1,4168
B1   2,2945
B1   3,1008
B10  0,8344
B10  9,18000
B11  1,11884
B11  2,3536
B11  3,17532
B11  4,12502
B12  0,4198
B12  8,8895
B12  9,8010
B13  0,13684
B13  8,7807
B13  9,15945
B14  4,12924
B14  5,11110
B14  6,12347
B14  7,7762
B15  1,2624
B15  2,9837
B15  3,6063
B16  0,10190
B16  8,6867
B16  9,7111
B17  0,8983
B17  8,9271
B17  9,7737
B18  4,6787
B18  5,5217
B18  6,1920
B18  7,2627
B19  1,8966
B19  2,7663
B19  3,3774
B2   4,457
B2   5,165
B20  1,8435
B20  2,11000
B20  3,15227
B21  0,10180
B21  8,9737
B21  9,10918
B23  5,15445
B23  6,11300
B23  7,16847
B24  0,10744
B24  8,8163
B24  9,10447
B25  8,16274
B26  1,11078
B26  2,11649
B26  3,10651
B27  6,9765
B27  7,15486
B28  0,14812
B28  8,7863
B28  9,7864
B29  4,6224
B29  5,10374
B29  6,13827
B29  7,12304
B3   1,2480
B3   2,133
B30  1,10279
B30  2,11715
B30  3,7579
B31  1,11579
B31  2,12279
B31  3,11337
B31  4,10095
B31  5,9924
B32  1,9534
B32  2,12282
B32  3,12143
B32  4,5205
B33  0,10638
B33  8,12137
B33  9,12317
B34  6,11355
B34  7,8297
B35  6,4310
B35  7,5827
B36  0,12912
B36  8,12994
B36  9,9430
B37  5,10132
B37  6,12056
B37  7,14140
B38  0,2117
B38  8,9355
B38  9,10238
B4   6,343
B4   7,4415
B42  1,11158
B42  2,13619
B43  5,11131
B43  6,6650
B43  7,11137
B44  0,15687
B44  8,10188
B44  9,11840
B45  0,7263
B45  8,10783
B45  9,12646
B46  1,7343
B46  2,2183
B46  3,2747
B47  5,6707
B47  6,2804
B48  7,5892
B49  5,4416
B49  6,5942
B5   4,2169
B5   5,877
B5   6,225
B5   7,8909
B50  4,5440
B6   4,1108
B6   5,4460
B6   6,11649
B6   7,2775
B60  1,7821
B60  2,8013
B60  3,9181
B60  4,3402
B61  0,10196
B61  7,5274
B61  8,5899
B61  9,2491
B62  0,6412
B62  8,8177
B62  9,10221
B63  1,6019
B63  2,12312
B63  3,7965
B63  4,10745
B64  5,3802
B64  6,6994
B64  7,6008
B65  0,5998
B65  8,7897
B65  9,10274
B66  1,3710
B66  2,1613
B66  3,7390
B66  4,8976
B67  5,10090
B67  6,10717
B67  7,10091
B68  0,9395
B68  8,9848
B68  9,11858
B69  1,15189
B69  2,5252
B69  3,3609
B69  4,5392
B7   4,3646
B7   5,5042
B70  0,7031
B70  6,6985
B70  7,3090
B70  8,3980
B70  9,7373
B71  1,8688
B71  2,10310
B71  3,8790
B71  4,3720
B72  1,9730
B73  5,13527
B73  6,9657
B74  2,10072
B74  3,11512
B74  4,11431
B75  5,8214
B75  6,9043
B75  7,9877
B76  0,384
B76  1,11868
B76  2,6634
B76  9,3127
B77  1,10896
B77  2,14874
B77  3,8981
B77  4,14439
B77  5,9087
B78  1,10368
B78  2,4451
B78  3,9962
B79  0,3264
B79  7,6219
B79  8,10670
B79  9,2343
B8   1,10747
B8   2,15519
B8   3,16368
B80  7,7178
B9   4,4430
B9   5,20891
B90  1,10732
B90  2,13005
B90  3,10591
B90  4,11793
B91  1,11059
B91  2,11949
B91  3,10715
B92  0,4046
B92  7,12877
B92  8,12637
B92  9,8310
B93  0,3524
B93  8,7913
B93  9,8597
B94  5,3933
B94  6,3567
B95  5,3973
B95  6,1782
B96  6,5157
B97  4,5853
B97  5,17023
B97  6,11181
B98  0,14760
B98  7,20117
B98  8,9580
B98  9,6442
BA1  1,1905
BA1  2,6642
BA1  3,7690
BA1  4,5408
BA1  5,4599
BA1  6,8380
BA1  7,5606
BA1  8,919
BA1  9,251
BA10 0,3801
BA11 1,5076
BA11 2,11119
BA11 3,5026
BA11 4,6390
BA11 5,3481
BA11 6,1904
BA12 0,5754
BA12 6,4357
BA12 7,3119
BA12 8,9140
BA12 9,6614
BA13 2,1324
BA13 3,13093
BA13 4,6146
BA14 0,12674
BA14 6,6037
BA14 7,15437
BA14 8,5906
BA14 9,8891
BA15 1,9302
BA15 2,4056
BA16 0,10570
BA16 9,2688
BA2  0,4654
BA2  1,13067
BA2  2,10653
BA2  3,9533
BA2  4,6382
BA2  5,7340
BA2  6,6224
BA2  7,7293
BA2  8,7783
BA2  9,2055
BA20 1,2209
BA20 2,8838
BA21 3,15354
BA21 4,9049
BA21 5,9780
BA22 7,3945
BA22 8,9115
BA22 9,5409
BA3  2,9966
BA3  3,10586
BA3  4,7682
BA3  5,7058
BA4  4,5245
BA4  5,8438
BA4  6,4389
BA5  1,6167
BA5  2,7374
BA5  3,4285
BA6  8,6545
BA6  9,6541
BA7  7,3571
BA8  0,4222
BA9  8,1508
BA9  9,5854
BB1  1,12524
BB1  2,9333
BB1  3,2829
BB1  4,6736
BB1  5,7903
BB1  6,3515
BB1  7,4441
BB1  8,9978
BB1  9,10399
BB10 1,8961
BB10 2,10623
BB10 3,8122
BB10 4,10354
BB11 2,5290
BB11 3,4161
BB11 4,6167
BB11 5,6974
BB12 0,8224
BB12 6,8673
BB12 7,7289
BB12 8,8023
BB12 9,2982
BB18 5,7839
BB18 6,9628
BB2  1,5780
BB2  2,4521
BB2  3,10085
BB2  4,15438
BB2  5,7188
BB2  6,10607
BB2  7,7309
BB3  0,9459
BB3  1,6499
BB3  2,9560
BB3  3,9564
BB4  4,7598
BB4  5,6106
BB4  6,7925
BB4  7,5972
BB4  8,8821
BB4  9,5670
BB5  0,9865
BB5  1,5028
BB5  2,7815
BB5  3,8043
BB5  4,8994
BB5  5,11706
BB5  6,10674
BB6  7,10981
BB6  8,3922
BB7  1,7718
BB7  2,7297
BB7  3,3118
BB7  4,5164
BB7  9,8931
BB8  0,6164
BB8  7,4707
BB8  8,5176
BB8  9,7378
BB9  0,12394
BB9  5,6463
BB9  6,4868
BB9  7,6838
BB9  8,8252
BB9  9,6530
BD1  1,390
BD1  2,376
BD1  3,1599
BD1  4,763
BD1  5,768
BD10 0,8982
BD10 8,10805
BD10 9,6529
BD11 1,5621
BD11 2,5924
BD12 0,5396
BD12 7,1931
BD12 8,4989
BD12 9,4643
BD13 1,4033
BD13 2,7785
BD13 3,7050
BD13 4,3546
BD13 5,2980
BD14 6,9020
BD15 0,4318
BD15 7,8195
BD15 9,3057
BD16 1,9591
BD16 2,3479
BD16 3,5872
BD16 4,7292
BD17 5,8324
BD17 6,6291
BD17 7,3584
BD18 1,7312
BD18 2,6942
BD18 3,5538
BD18 4,7920
BD19 3,6088
BD19 4,9594
BD19 5,2689
BD19 6,4014
BD2  1,8285
BD2  2,4832
BD2  3,8059
BD2  4,7865
BD20 0,6239
BD20 5,7406
BD20 6,7522
BD20 7,4989
BD20 8,5601
BD20 9,4146
BD21 1,6142
BD21 2,7278
BD21 3,3997
BD21 4,7496
BD21 5,2672
BD22 0,4540
BD22 6,7812
BD22 7,9208
BD22 8,4341
BD22 9,4447
BD23 1,5999
BD23 2,8488
BD23 3,4169
BD23 4,3629
BD23 5,3542
BD23 6,3993
BD24 0,2036
BD24 9,3179
BD3  0,9939
BD3  7,7644
BD3  8,9240
BD3  9,7769
BD4  0,6810
BD4  6,7374
BD4  7,4846
BD4  8,6981
BD4  9,5726
BD5  0,7212
BD5  7,6417
BD5  8,7877
BD5  9,10664
BD6  1,9650
BD6  2,7743
BD6  3,13183
BD7  1,6242
BD7  2,12029
BD7  3,8795
BD7  4,8871
BD8  0,8066
BD8  7,6790
BD8  8,6770
BD8  9,10403
BD9  4,9712
BD9  5,11117
BD9  6,8972
BH1  1,2691
BH1  2,1114
BH1  3,6578
BH1  4,9243
BH10 4,4192
BH10 5,7154
BH10 6,5127
BH10 7,3922
BH11 8,10053
BH11 9,10191
BH12 1,6358
BH12 2,8088
BH12 3,8145
BH12 4,8855
BH12 5,4415
BH13 6,4645
BH13 7,3814
BH14 0,7117
BH14 8,9417
BH14 9,7290
BH15 1,6279
BH15 2,6175
BH15 3,11466
BH15 4,9686
BH16 5,11131
BH16 6,4969
BH17 7,9053
BH17 8,7651
BH17 9,6663
BH18 8,4730
BH18 9,6584
BH19 1,4145
BH19 2,5617
BH19 3,1946
BH2  5,4554
BH2  6,3929
BH20 4,5588
BH20 5,4006
BH20 6,6052
BH20 7,4640
BH21 1,10607
BH21 2,9159
BH21 3,10856
BH21 4,2256
BH21 5,2446
BH21 6,1516
BH21 7,3876
BH21 8,528
BH22 0,7687
BH22 8,11038
BH22 9,8514
BH23 1,5685
BH23 2,12258
BH23 3,9040
BH23 4,9849
BH23 5,6963
BH23 6,507
BH23 7,4560
BH23 8,4836
BH24 1,10649
BH24 2,6973
BH24 3,4960
BH24 4,1405
BH25 5,12560
BH25 6,6709
BH25 7,6880
BH3  7,5836
BH31 6,10339
BH31 7,3245
BH4  8,5412
BH4  9,4126
BH5  1,6490
BH5  2,4944
BH6  3,9195
BH6  4,3677
BH6  5,9699
BH7  6,8266
BH7  7,3750
BH8  0,7430
BH8  8,12843
BH8  9,8212
BH9  1,12907
BH9  2,9027
BH9  3,10217
BL0  0,5668
BL0  9,12383
BL1  1,419
BL1  2,4313
BL1  3,10085
BL1  4,9246
BL1  5,12355
BL1  6,8786
BL1  7,8514
BL1  8,11149
BL2  1,3988
BL2  2,8543
BL2  3,8669
BL2  4,4786
BL2  5,9468
BL2  6,10842
