"Rank","Town/City","County","House Score","Download Score","CrimeScore","School Score","Total Score"
1,"CAMBORNE","CORNWALL",7.67288493319081,0.679,9.76308333333333,4.625,5.68499206663104
2,"SALTASH","CORNWALL",7.03752164450665,1.358,9.795,4.265,5.61388041112666
3,"ST AUSTELL","CORNWALL",6.94744134984833,0.843,9.72276470588235,4.72666666666667,5.55996818059934
4,"PENRYN","CORNWALL",6.96377328732748,0.572,9.78083333333333,4.775,5.5229016551652
5,"LAUNCESTON","CORNWALL",7.09571445747801,0.634,9.8148,4.465,5.5023786143695
6,"REDRUTH","CORNWALL",7.13667932499052,0.737,9.78633333333333,4.2875,5.48687816458096
7,"LISKEARD","CORNWALL",7.24337497032641,0.627,9.80883333333333,4.225,5.47605207591494
8,"CALLINGTON","CORNWALL",7.09137235154394,0.589,9.9255,4.225,5.45771808788599
9,"PENZANCE","CORNWALL",6.73307174964937,0.75,9.80604761904762,4.43166666666667,5.43019650884091
10,"TORPOINT","CORNWALL",6.77786766761095,0.667,9.82814285714286,4.36,5.40825263118845
11,"CAMELFORD","CORNWALL",7.07162426701571,0.61,9.83666666666667,4.06,5.39457273342059
12,"HELSTON","CORNWALL",6.22778243386243,0.646,9.84109090909091,4.7475,5.36559333573834
13,"BUDE","CORNWALL",6.09670409182984,0.756,9.813125,4.645,5.32770727295746
14,"BODMIN","CORNWALL",6.96900784575835,0.668,9.84793333333333,3.825,5.32748529477292
15,"HAYLE","CORNWALL",6.44452196509863,0.792,9.80525,4.26,5.32544299127466
16,"NEWQUAY","CORNWALL",6.02881250943396,0.675,9.70886666666667,4.7975,5.30254479402516
17,"LOOE","CORNWALL",6.35946586894587,0.668,9.8795,4.08,5.24674146723647
18,"BRISTOL","CITY OF BRISTOL",5.72883216556669,1.793,9.46836312849162,3.8208064516129,5.2027504364178
19,"ST IVES","CORNWALL",5.25841973505435,0.65,9.82055555555556,4.99,5.17974382265248
20,"FALMOUTH","CORNWALL",5.66516594860166,0.615,9.70136363636364,4.645,5.15663239624133
21,"TRURO","CORNWALL",5.7950134787374,0.8,9.74812,3.4275,4.94265836968435
22,"WADEBRIDGE","CORNWALL",4.33440549004594,0.644,9.84975,4.66,4.87203887251149
23,"FOWEY","CORNWALL",4.51337633928572,0.637,9.86533333333333,3.835,4.71267741815476
