"Town/City","County","House Score"
"LONDON","CITY OF BRISTOL",9.9925
"CAMBORNE","CORNWALL",7.67288493319081
"PAR","CORNWALL",7.44233457928803
"DELABOLE","CORNWALL",7.42568156028369
"WESTON-SUPER-MARE","CITY OF BRISTOL",7.34005
"ST COLUMB","CORNWALL",7.2965511717496
"LISKEARD","CORNWALL",7.24337497032641
"REDRUTH","CORNWALL",7.13667932499052
"LAUNCESTON","CORNWALL",7.09571445747801
"CALLINGTON","CORNWALL",7.09137235154394
"CAMELFORD","CORNWALL",7.07162426701571
"SALTASH","CORNWALL",7.03752164450665
"BODMIN","CORNWALL",6.96900784575835
"PENRYN","CORNWALL",6.96377328732748
"ST AUSTELL","CORNWALL",6.94744134984833
"GUNNISLAKE","CORNWALL",6.89229219387755
"TORPOINT","CORNWALL",6.77786766761095
"PENZANCE","CORNWALL",6.73307174964937
"CALSTOCK","CORNWALL",6.48128346938775
"WELLS","CITY OF BRISTOL",6.45
"HAYLE","CORNWALL",6.44452196509863
"LOSTWITHIEL","CORNWALL",6.39296223021583
"LOOE","CORNWALL",6.35946586894587
"HELSTON","CORNWALL",6.22778243386243
"BUDE","CORNWALL",6.09670409182984
"TINTAGEL","CORNWALL",6.0367178313253
"NEWQUAY","CORNWALL",6.02881250943396
"HOLSWORTHY","CORNWALL",5.92530456140351
"TRURO","CORNWALL",5.7950134787374
"MARAZION","CORNWALL",5.76372504132231
"PERRANPORTH","CORNWALL",5.76015988095238
"BRISTOL","CITY OF BRISTOL",5.72883216556669
"FALMOUTH","CORNWALL",5.66516594860166
"ST IVES","CORNWALL",5.25841973505435
"ST AGNES","CORNWALL",5.17310504043127
"BOSCASTLE","CORNWALL",4.67919720930233
"FOWEY","CORNWALL",4.51337633928572
"WADEBRIDGE","CORNWALL",4.33440549004594
"PADSTOW","CORNWALL",3.93110091089109
"PORT ISAAC","CORNWALL",3.76880241935484
