"Town","County","Download Score"
"BRISTOL","CITY OF BRISTOL",1.793
"SALTASH","CORNWALL",1.358
"ST AUSTELL","CORNWALL",0.843
"TRURO","CORNWALL",0.8
"HAYLE","CORNWALL",0.792
"DELABOLE","CORNWALL",0.787
"BUDE","CORNWALL",0.756
"PENZANCE","CORNWALL",0.75
"REDRUTH","CORNWALL",0.737
"PAR","CORNWALL",0.723
"CAMBORNE","CORNWALL",0.679
"NEWQUAY","CORNWALL",0.675
"BODMIN","CORNWALL",0.668
"LOOE","CORNWALL",0.668
"TORPOINT","CORNWALL",0.667
"ST AGNES","CORNWALL",0.654
"ST IVES","CORNWALL",0.65
"HELSTON","CORNWALL",0.646
"LOSTWITHIEL","CORNWALL",0.645
"WADEBRIDGE","CORNWALL",0.644
"BOSCASTLE","CORNWALL",0.639
"FOWEY","CORNWALL",0.637
"LAUNCESTON","CORNWALL",0.634
"ST COLUMB","CORNWALL",0.631
"MARAZION","CORNWALL",0.629
"LISKEARD","CORNWALL",0.627
"FALMOUTH","CORNWALL",0.615
"GUNNISLAKE","CORNWALL",0.615
"CAMELFORD","CORNWALL",0.61
"PORT ISAAC","CORNWALL",0.602
"CALLINGTON","CORNWALL",0.589
"PADSTOW","CORNWALL",0.588
"PERRANPORTH","CORNWALL",0.584
"PENRYN","CORNWALL",0.572
"TINTAGEL","CORNWALL",0.566
"HOLSWORTHY","CORNWALL",0.531
"CALSTOCK","CORNWALL",0.426
