"Postcode","SchoolName","Town","UniqueRefNo","Total_Attainment_8_Score","Attainment_8_Score","Year","County"
"BS2 0BA","Andalusia Academy Bristol","Bristol",130391,"882","58.8","2021-2022","Bristol"
"BS3 2JL","Ashton Park School","Bristol",145398,"9742.5","46.6","2021-2022","Bristol"
"BS9 3BA","Badminton School","Bristol",109337,"2436","42.7","2021-2022","Bristol"
"BS13 7DQ","Bedminster Down School","Bristol",138204,"8211","40.6","2021-2022","Bristol"
"BS10 7QH","Blaise High School","Bristol",147219,"6586.5","43.3","2021-2022","Bristol"
"BS13 0RL","Bridge Learning Campus","Bristol",139049,"3720.8","35.8","2021-2022","Bristol"
"BS15 1NU","Bristol Brunel Academy","Bristol",135300,"10946","48.2","2021-2022","Bristol"
"BS1 5TS","Bristol Cathedral Choir School","Bristol",135575,"8955","59.3","2021-2022","Bristol"
"BS10 6NJ","Bristol Free School","Bristol",136822,"9940.5","51.8","2021-2022","Bristol"
"BS8 1SR","Bristol Grammar School","Bristol",109369,"2313.5","16.4","2021-2022","Bristol"
"BS16 2HD","Bristol Metropolitan Academy","Bristol",135959,"9462.8","53.5","2021-2022","Bristol"
"BS5 9JH","The City Academy Bristol","Bristol",144509,"5702.8","38.8","2021-2022","Bristol"
"BS8 3EZ","Clifton College","",109334,"3286","26.1","2021-2022","Bristol"
"BS8 3JD","Clifton High School","",109335,"1749.5","31.8","2021-2022","Bristol"
"BS16 1BJ","Collegiate School Bristol","",109336,"5100.5","64.6","2021-2022","Bristol"
"BS6 6DT","Cotham School","Bristol",137440,"11061","52.2","2021-2022","Bristol"
"BS7 9NL","Fairfield High School","Bristol",141705,"11711.5","54.7","2021-2022","Bristol"
"BS11 0UT","Kingsweston School","Bristol",109386,"88","8","2021-2022","Bristol"
"BS4 1NN","Knowle DGE Academy","Bristol",144655,"67","2.3","2021-2022","Bristol"
"BS3 4AG","LPW Independent School","Bristol",137583,"10","0.4","2021-2022","Bristol"
"BS13 9AJ","Merchants' Academy","Bristol",135597,"4471","36.1","2021-2022","Bristol"
"BS6 5RD","Montpelier High School","Bristol",135581,"8600","63.7","2021-2022","Bristol"
"BS11 0QA","North Star 240°","Bristol",148322,"133","8.9","2021-2022","Bristol"
"BS11 0EB","Oasis Academy Brightstowe","Bristol",135671,"5464.8","39.3","2021-2022","Bristol"
"BS4 5EY","Oasis Academy Brislington","Bristol",141652,"6401.3","44.8","2021-2022","Bristol"
"BS14 9BU","Oasis Academy John Williams","Bristol",135663,"7322.5","44.1","2021-2022","Bristol"
"BS7 0XZ","Orchard School Bristol","Bristol",138448,"6712.8","43.9","2021-2022","Bristol"
"BS8 1JX","Queen Elizabeth's Hospital","Bristol",109370,"2648","35.3","2021-2022","Bristol"
"BS6 7EH","Redland Green School","Bristol",138855,"13980.3","60.8","2021-2022","Bristol"
"BS9 3AW","Redmaids' High School","Bristol",109371,"2645.5","28.8","2021-2022","Bristol"
"BS11 0SU","St Bede's Catholic College","Bristol",137627,"11084.5","61.6","2021-2022","Bristol"
"BS14 9LS","St Bernadette Catholic Secondary School","Bristol",109331,"6744","48.5","2021-2022","Bristol"
"BS1 6RT","St Mary Redcliffe and Temple School","Bristol",109327,"12385.8","57.1","2021-2022","Bristol"
"BS7 9BY","Trinity Academy","Bristol",147072,"","","2021-2022","Bristol"
